timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605981321212,2094,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4068,1556,5,5,null,1005,3,162
1605981321952,2091,Navigating_Account_Page,200,OK,Thread Group 1-3,text,true,,4046,1556,5,5,https://demo.opencart.com/index.php?route=account/login,1029,0,167
1605981321952,1029,Navigating_Account_Page-0,302,Found,Thread Group 1-3,text,true,,562,780,5,5,https://demo.opencart.com/index.php?route=account%2Faccount,1029,0,167
1605981322982,1061,Navigating_Account_Page-1,200,OK,Thread Group 1-3,text,true,,3484,776,5,5,https://demo.opencart.com/index.php?route=account/login,858,0,0
1605981321951,2091,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4046,1556,5,5,null,1029,3,167
1605981323311,1221,Logout_1,200,OK,Thread Group 1-5,text,true,,3367,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,1027,0,161
1605981324046,1231,Logout_1,200,OK,Thread Group 1-3,text,true,,3324,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,1024,0,163
1605981324535,1100,Logout_2,200,OK,Thread Group 1-5,text,true,,3329,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,891,0,0
1605981323310,2321,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,6696,1558,5,5,null,1918,6,161
1605981324514,1295,Register_form,200,OK,Thread Group 1-1,text,true,,4835,1892,5,5,https://demo.opencart.com/index.php?route=account/register,1091,0,165
1605981325154,1086,ClickOnRegister,200,OK,Thread Group 1-4,text,true,,547,715,5,5,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,1059,0,176
1605981317922,2325,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,5364,1463,5,5,null,2091,5994,352
1605981325278,1085,Logout_2,200,OK,Thread Group 1-3,text,true,,3324,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,874,0,0
1605981324045,2316,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,6648,1558,5,5,null,1898,4,163
1605981325888,999,ClickOnRegister,200,OK,Thread Group 1-2,text,true,,547,715,5,5,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,975,0,165
1605981318643,2248,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,5275,1463,5,5,null,2014,5998,327
1605981325811,1082,Register_Success,200,OK,Thread Group 1-1,text,true,,3373,807,5,5,https://demo.opencart.com/index.php?route=account%2Fsuccess,876,0,0
1605981321514,2377,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,8208,2699,5,5,null,1967,3004,165
1605981325637,1352,Launch_Homepage,200,OK,Thread Group 1-5,text,true,,4264,698,5,5,https://demo.opencart.com/,1137,0,260
1605981326366,1411,Launch_Homepage,200,OK,Thread Group 1-3,text,true,,4231,698,5,5,https://demo.opencart.com/,1201,0,302
1605981326992,1112,Launch_Homepage1,200,OK,Thread Group 1-5,text,true,,4226,704,5,5,https://demo.opencart.com/,902,0,0
1605981325636,2464,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,8490,1402,5,5,null,2039,6,260
1605981327779,1080,Launch_Homepage1,200,OK,Thread Group 1-3,text,true,,4226,704,5,5,https://demo.opencart.com/,877,0,0
1605981326364,2491,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,8457,1402,5,5,null,2078,6,302
1605981326895,2088,Navigating_Account_Page,200,OK,Thread Group 1-1,text,true,,4051,1556,5,5,https://demo.opencart.com/index.php?route=account/login,1009,0,163
1605981326895,1009,Navigating_Account_Page-0,302,Found,Thread Group 1-1,text,true,,562,780,5,5,https://demo.opencart.com/index.php?route=account%2Faccount,1009,0,163
1605981327905,1078,Navigating_Account_Page-1,200,OK,Thread Group 1-1,text,true,,3489,776,5,5,https://demo.opencart.com/index.php?route=account/login,870,0,0
1605981326895,2088,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4051,1556,5,5,null,1009,2,163
1605981328987,1366,Logout_1,200,OK,Thread Group 1-1,text,true,,3372,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,1164,0,195
1605981329250,1465,Register_form,200,OK,Thread Group 1-4,text,true,,4862,1837,5,5,https://demo.opencart.com/index.php?route=account/register,1255,0,314
1605981329892,1351,Register_form,200,OK,Thread Group 1-2,text,true,,4796,1837,5,5,https://demo.opencart.com/index.php?route=account/register,1125,0,175
1605981330359,1083,Logout_2,200,OK,Thread Group 1-1,text,true,,3324,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,871,0,0
1605981328986,2449,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,6696,1558,5,5,null,2035,7,195
1605981330718,1053,Register_Success,200,OK,Thread Group 1-4,text,true,,3368,807,5,5,https://demo.opencart.com/index.php?route=account%2Fsuccess,848,0,0
1605981326241,2518,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,8230,2644,5,5,null,2103,3013,314
1605981331246,1083,Register_Success,200,OK,Thread Group 1-2,text,true,,3399,807,5,5,https://demo.opencart.com/index.php?route=account%2Fsuccess,879,0,0
1605981326889,2434,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,8195,2644,5,5,null,2004,3007,175
1605981331097,1326,Register,200,OK,Thread Group 1-5,text,true,,4728,748,5,5,https://demo.opencart.com/index.php?route=account/register,1123,0,171
1605981331445,1385,Launch_Homepage,200,OK,Thread Group 1-1,text,true,,4231,698,5,5,https://demo.opencart.com/,1176,0,271
1605981331863,1228,Register,200,OK,Thread Group 1-3,text,true,,4782,748,5,5,https://demo.opencart.com/index.php?route=account/register,1028,0,163
1605981331774,2092,Navigating_Account_Page,200,OK,Thread Group 1-4,text,true,,4046,1556,5,5,https://demo.opencart.com/index.php?route=account/login,999,0,163
1605981331774,999,Navigating_Account_Page-0,302,Found,Thread Group 1-4,text,true,,562,780,5,5,https://demo.opencart.com/index.php?route=account%2Faccount,999,0,163
1605981332774,1092,Navigating_Account_Page-1,200,OK,Thread Group 1-4,text,true,,3484,776,5,5,https://demo.opencart.com/index.php?route=account/login,880,0,0
1605981331773,2092,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4046,1556,5,5,null,999,2,163
1605981332833,1108,Launch_Homepage1,200,OK,Thread Group 1-1,text,true,,4226,704,5,5,https://demo.opencart.com/,905,0,0
1605981331444,2493,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,8457,1402,5,5,null,2081,5,271
1605981332332,2310,Navigating_Account_Page,200,OK,Thread Group 1-2,text,true,,4062,1556,5,5,https://demo.opencart.com/index.php?route=account/login,1014,0,163
1605981332332,1014,Navigating_Account_Page-0,302,Found,Thread Group 1-2,text,true,,562,780,5,5,https://demo.opencart.com/index.php?route=account%2Faccount,1014,0,163
1605981333347,1295,Navigating_Account_Page-1,200,OK,Thread Group 1-2,text,true,,3500,776,5,5,https://demo.opencart.com/index.php?route=account/login,853,0,0
1605981332332,2310,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4062,1556,5,5,null,1014,2,163
1605981333868,1350,Logout_1,200,OK,Thread Group 1-4,text,true,,3352,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,1037,0,163
1605981334646,1492,Logout_1,200,OK,Thread Group 1-2,text,true,,3329,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,1211,0,261
1605981335220,1247,Logout_2,200,OK,Thread Group 1-4,text,true,,3367,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,918,0,0
